tick,population,births,deaths,moves,attacks,mean_internal_energy
8972,246,1,1,1,1,95.54772357723576
8973,246,0,0,0,0,95.61154471544715
8974,245,0,1,0,1,95.96506122448979
8975,245,0,0,0,0,96.07404081632653
8976,245,0,0,0,0,96.13914285714286
8977,245,0,0,0,0,96.34975510204082
8978,244,0,1,1,1,96.44954918032786
8979,243,0,1,0,1,96.81045267489712
8980,243,0,0,0,0,96.8479012345679
8981,243,0,0,0,0,96.93411522633744
8982,243,0,0,1,0,96.94358024691358
8983,244,1,0,0,0,96.68627049180328
8984,244,0,0,0,0,96.72909836065573
8985,245,1,0,0,0,96.41448979591837
8986,244,1,2,0,2,96.53565573770491
8987,243,0,1,1,1,96.63868312757202
8988,243,0,0,0,0,96.74300411522634
8989,243,0,0,0,0,96.80987654320987
8990,244,2,1,2,1,96.13709016393443
8991,245,2,1,0,1,95.75551020408163
8992,245,0,0,0,0,95.85081632653062
8993,246,1,0,0,0,95.58699186991869
8994,246,0,0,1,0,95.68313008130082
8995,246,0,0,1,0,95.8310975609756
8996,244,0,2,0,2,96.6016393442623
8997,244,0,0,2,0,96.71741803278688
8998,245,1,0,0,0,96.39408163265306
8999,245,0,0,0,0,96.44102040816327
9000,245,0,0,0,0,96.58938775510205
9001,246,1,0,0,0,96.2420731707317
9002,247,1,0,1,0,95.9997975708502
9003,246,0,1,0,1,96.46345528455284
9004,247,1,0,0,0,96.17554655870445
9005,246,0,1,1,1,96.54475609756096
9006,246,0,0,2,0,96.51609756097561
9007,246,0,0,1,0,96.68682926829268
9008,246,0,0,0,0,96.69658536585366
9009,247,1,0,0,0,96.39315789473685
9010,247,0,0,0,0,96.5293927125506
9011,247,1,1,0,1,96.48323886639676
9012,247,0,0,0,0,96.61623481781376
9013,247,0,0,1,0,96.75874493927125
9014,247,0,0,0,0,96.74558704453442
9015,247,0,0,0,0,96.87352226720647
9016,248,1,0,0,0,96.54560483870966
9017,247,0,1,1,1,96.85206477732793
9018,248,1,0,0,0,96.63129032258064
9019,249,1,0,0,0,96.43016064257029
9020,248,0,1,0,1,96.7004435483871
9021,248,0,0,0,0,96.66677419354839
9022,247,0,1,0,1,97.04591093117409
9023,248,1,0,1,0,96.71790322580645
9024,248,0,0,0,0,96.82495967741936
9025,249,2,1,1,1,96.49232931726908
9026,250,1,0,0,0,96.20483999999999
9027,250,0,0,2,0,96.34664
9028,249,0,1,1,1,96.75830522088353
9029,248,0,1,1,1,96.74825806451612
9030,247,0,1,0,1,96.76282591093117
9031,248,1,0,1,0,96.48475
9032,247,0,1,0,1,96.61505263157893
9033,247,0,0,0,0,96.66525506072874
9034,247,0,0,1,0,96.82193522267207
9035,247,0,0,0,0,96.9361052631579
9036,247,0,0,0,0,96.97935222672064
9037,247,0,0,0,0,96.94999999999999
9038,247,0,0,0,0,97.06720647773278
9039,246,0,1,0,1,97.47987804878049
9040,246,0,0,0,0,97.53028455284553
9041,247,1,0,0,0,97.28886639676112
9042,247,0,0,0,0,97.2900809716599
9043,246,0,1,1,1,97.35121951219512
9044,245,0,1,0,1,97.48938775510203
9045,246,1,0,0,0,97.21585365853657
9046,245,0,1,0,1,97.28428571428572
9047,245,0,0,1,0,97.31673469387755
9048,244,0,1,0,1,97.5563524590164
9049,244,0,0,1,0,97.50040983606557
9050,244,0,0,0,0,97.56946721311476
9051,244,0,0,0,0,97.66086065573771
9052,244,0,0,0,0,97.80860655737705
9053,244,0,0,1,0,97.82090163934426
9054,243,0,1,0,1,97.82613168724279
9055,243,1,1,0,1,97.86316872427983
9056,242,0,1,1,1,98.17561983471074
9057,242,0,0,2,0,98.22851239669421
9058,242,0,0,0,0,98.26756198347107
9059,242,0,0,1,0,98.23553719008264
9060,242,0,0,0,0,98.22479338842975
9061,244,2,0,1,0,97.51454918032786
9062,243,0,1,0,1,97.8895061728395
9063,243,1,1,1,1,97.70267489711934
9064,241,0,2,0,2,97.76348547717842
9065,240,0,1,0,1,98.12229166666665
9066,239,0,1,0,1,98.11569037656903
9067,240,1,0,0,0,97.75541666666666
9068,240,0,0,0,0,97.74
9069,240,0,0,0,0,97.81479166666666
9070,240,0,0,0,0,97.81416666666665
9071,240,0,0,1,0,97.88875
9072,239,0,1,0,1,98.25326359832636
9073,239,0,0,1,0,98.27313807531381
9074,238,0,1,2,1,98.27638655462184
9075,238,0,0,0,0,98.29697478991596
9076,238,0,0,0,0,98.41336134453782
9077,239,1,0,0,0,98.03359832635982
9078,239,0,0,0,0,98.08192468619247
9079,239,0,0,0,0,98.10020920502092
9080,238,0,1,1,1,98.54915966386555
9081,238,0,0,2,0,98.56554621848738
9082,238,0,0,0,0,98.56932773109244
9083,238,0,0,0,0,98.61155462184874
9084,239,1,0,1,0,98.19142259414225
9085,240,1,0,0,0,97.84229166666665
9086,240,0,0,0,0,97.99083333333333
9087,240,0,0,0,0,98.05
9088,240,0,0,0,0,97.98583333333333
9089,240,0,0,0,0,98.076875
9090,240,0,0,0,0,98.11770833333334
9091,240,0,0,0,0,98.21979166666667
9092,240,1,1,0,1,97.85041666666666
9093,240,0,0,0,0,97.94
9094,241,1,0,0,0,97.66804979253112
9095,241,0,0,2,0,97.64066390041494
9096,240,0,1,1,1,97.658125
9097,239,0,1,0,1,97.7102510460251
9098,239,0,0,0,0,97.8612970711297
9099,239,0,0,0,0,97.83451882845189
9100,240,1,0,0,0,97.540625
9101,240,0,0,0,0,97.57458333333332
9102,240,1,1,0,1,97.25708333333334
9103,240,0,0,1,0,97.41687499999999
9104,241,1,0,0,0,97.07282157676349
9105,241,0,0,0,0,97.18526970954356
9106,243,2,0,0,0,96.39382716049383
9107,245,2,0,0,0,95.63816326530612
9108,244,0,1,0,1,96.05102459016393
9109,243,0,1,0,1,96.5230452674897
9110,244,1,0,0,0,96.20614754098361
9111,244,1,1,0,1,96.24340163934426
9112,246,2,0,0,0,95.66154471544715
9113,247,1,0,2,0,95.31740890688258
9114,245,0,2,1,2,96.0634693877551
9115,246,1,0,0,0,95.79959349593496
9116,246,1,1,0,1,95.8178861788618
9117,246,0,0,0,0,95.92459349593496
9118,246,0,0,0,0,95.97418699186991
9119,246,0,0,0,0,96.11626016260162
9120,245,0,1,0,1,96.11081632653061
9121,243,0,2,0,2,96.38868312757202
9122,244,1,0,2,0,96.11065573770492
9123,244,0,0,1,0,96.08627049180328
9124,246,2,0,1,0,95.55142276422764
9125,246,0,0,0,0,95.65833333333333
9126,246,0,0,0,0,95.70264227642276
9127,247,1,0,0,0,95.4161943319838
9128,248,1,0,0,0,95.14173387096773
9129,248,0,0,1,0,95.24879032258065
9130,247,0,1,1,1,95.62206477732792
9131,247,0,0,0,0,95.78016194331984
9132,247,0,0,1,0,95.82935222672064
9133,247,0,0,1,0,95.89514170040485
9134,248,1,0,1,0,95.59314516129032
9135,247,1,2,0,2,95.88453441295546
9136,249,2,0,0,0,95.22321285140562
9137,250,1,0,0,0,94.97072
9138,250,0,0,0,0,95.20092
9139,252,2,0,0,0,94.55746031746031
9140,253,1,0,0,0,94.26454545454546
9141,253,0,0,0,0,94.45229249011858
9142,253,0,0,0,0,94.67600790513833
